"title","category","url"
"Mariupol civilians evacuated from steelworks bunker","Europe","https://www.bbc.com/news/world-europe-61292951"
"Evacuation of Mariupol: 'Two months of darkness'","Europe","https://www.bbc.com/news/world-europe-61294744"
"Dutch boy, 4, takes mother's car for a joyride","Europe","https://www.bbc.com/news/world-europe-61294584"
"'Pickford's saves have kept Everton's dreams alive'","Football","https://www.bbc.com/sport/football/61293998"
"Biden mocks Trump at White House press dinner","US & Canada","https://www.bbc.com/news/world-us-canada-61290695"
"'Discotheque inventor' Regine dies aged 92","World","https://www.bbc.com/news/world-61292332"
"Kylie and Jason to reunite for Neighbours finale","Entertainment & Arts","https://www.bbc.com/news/entertainment-arts-61292290"
"In pictures: Dust storm turns Iraq skies orange","World","https://www.bbc.com/news/world-61292334"
"Arsenal beat West Ham to reclaim Champions League spot","Football","https://www.bbc.com/sport/football/61205838"
"Murray 'not supportive' of Wimbledon's Russia ban","Tennis","https://www.bbc.com/sport/tennis/61293193"
"Warriors and Bucks win NBA play-off openers","Basketball","https://www.bbc.com/sport/basketball/61294184"
"The spicy snack that unites an island","Travel","https://www.bbc.com/travel/article/20220501-isso-vade-the-spicy-snack-that-unites-sri-lanka"
"'Dress for the job you want'?","Travel","https://www.bbc.com/worklife/article/20220429-does-dressing-for-success-still-matter"
"10 TV shows to watch this May","Culture","https://www.bbc.com/culture/article/20220429-10-of-the-best-tv-shows-to-watch-this-may"
"Is veganism always best for the planet?","Future","https://www.bbc.com/future/article/20220429-the-climate-benefits-of-veganism-and-vegetarianism"
"What language should we use about children in care?","Future","https://www.bbc.co.uk/programmes/articles/1qTHYDxlylsKQKYR83Q5rJf/what-language-should-we-use-about-children-in-care"
"How to make easy Indian breads","Future","https://www.bbc.co.uk/food/articles/Indian_breads"
"How often should you change your bed sheets?","Future","https://www.bbc.com/news/newsbeat-61259074"
"Recall hits India's 'Tesla of two-wheelers'","Future","https://www.bbc.com/news/business-61092572"
"How did Hitler and the Nazis seize power in Germany?","Future","https://www.bbcselect.com/watch/rise-of-the-nazis/?utm_source=BBC.com&utm_medium=Homepage+Module&utm_campaign=Rise+of+the+Nazis"
"I survived the sinking of the Belgrano","Future","https://www.bbc.com/news/stories-61272009"
"I survived the sinking of the Belgrano","Future","https://www.bbc.com/news/stories-61272009"
"Storm Eunice topples trees and rips roofs","Future","https://www.bbc.com/news/uk-60431246"
"Seagulls beware! The dogs keeping chips safe","Future","https://www.bbc.com/news/world-australia-60418525"
"'It's the most detailed female anatomy ever...","Future","https://www.bbc.com/news/uk-61258731"
"I thought I had a brain tumour - Davina...","Future","https://www.bbc.com/news/uk-61291160"
"Ready for the total solar eclipse?","Future","https://www.bbc.com/news/world-us-canada-40362067"
"Great Mosque of al-Nuri destroyed","Future","https://www.bbc.com/news/world-middle-east-40369547"
"Video 'shows Mosul mosque's destruction'","Future","https://www.bbc.com/news/world-middle-east-40366136"
"The rise of the female fitness model","Future","https://www.bbc.com/news/uk-england-40058866"
"Car burglar caught with his pants down","Future","https://www.bbc.com/news/world-us-canada-40360953"
"One-minute World News","Future","https://www.bbc.com/news/10462520"
"Ros Atkins on… China’s zero-Covid...","Future","https://www.bbc.com/news/world-asia-china-61262757"
"I can see how tractor search led to porn -...","Future","https://www.bbc.com/news/uk-61290017"
"Is Denmark guilty of double standards on...","Future","https://www.bbc.com/news/world-europe-61273433"
"Unravelling Australia's complex jobs puzzle","Future","https://www.bbc.co.uk/news/av/business-60835196"
"Elon Musk sells $8.5bn worth of Tesla shares","Future","https://www.bbc.com/news/business-61255092"
"Venus and Jupiter to almost touch in night sky","Future","https://www.bbc.com/news/science-environment-61259569"
"Tributes paid to country music star Naomi Judd","Future","https://www.bbc.com/news/world-us-canada-61290443"
"Charities deliver emergency contraception in Ukraine","Future","https://www.bbc.com/news/health-61269792"
"James Webb Space Telescope in final stretch","Future","https://www.bbc.com/news/science-environment-61268680"
"White House press dinner returns after two years","Future","https://www.bbc.com/news/world-us-canada-61288670"
"Do you want to know how much your colleagues earn?","Future","https://www.bbc.com/news/business-61227552"
"How we can fix our food chain","Future","https://www.bbc.com/future/bespoke/follow-the-food/how-we-might-build-a-food-utopia/"
"Fans, foam and fascinating photos from this week","Future","https://www.bbc.com/news/in-pictures-61260550"
"Africa's top shots: Candlelit pilgrims and hungry bees","Future","https://www.bbc.com/news/world-africa-61255324"
"Kebab seller image wins world food photo contest","Future","https://www.bbc.com/news/in-pictures-61222913"
"Tribute to Afro-Brazilian god wins Rio carnival title","Future","https://www.bbc.com/news/world-latin-america-61241879"
"Africa's top shots: Hypnotic twirls and daring leaps","Future","https://www.bbc.com/news/world-africa-61173922"
